Disease,Treatment,CFR
"Prion diseases, or transmissible spongiform encephalopathies (TSE)",None,100
African trypanosomiasis,Untreated,100
Cryptococcal meningitis,Untreated & Co-infection with HIV,100
Plague — specifically the septicemic or pneumonic type,Untreated,100
Rabies,Untreated / Vaccine exists,100
Visceral leishmaniasis,Untreated,100
Fibrodysplasia Ossificans Progressiva,None,100
"Primary amoebic meningoencephalitis, Naegleria fowleri",Untreated,99
"Glanders, septicemic",Untreated,95
Smallpox Variola major — specifically the malignant (flat) or hemorrhagic type,Untreated,95
"Granulomatous amoebic encephalitis, Balamuthia mandrillaris & Acanthamoeba",None,90
"Ebola virus disease — specifically EBOV ""strain"" (formerly Zaire Ebola virus)",,85
AIDS/HIV infection,Untreated,85
"Anthrax, specifically the pulmonary form",Untreated,85
"Aspergillosis, invasive pulmonary form","Opportunistic w/COPD, Tuberculosis and Immunocompromised",70
Herpes B virus disease,Untreated,70
"Smallpox, Variola major — in pregnant women",Unvaccinated,65
Cryptococcal meningitis,Co-infection with HIV,50
Influenza A virus subtype H5N1,,60
"Bubonic plague, untreated",Untreated & Unvaccinated,60
"Tularemia pneumonia, untreated",Untreated,60
"Ebola virus disease, Sudan variant (SUDV)",,55
"Anthrax, gastrointestinal, intestinal type",,50
Ebola virus disease (for all types of ebolavirus outbreaks combined),,50
Marburg virus disease - all outbreaks combined,,50
"Plague, pneumonic",Untreated & Unvaccinated,50
"Tetanus, Generalized",Untreated & Unvaccinated,50
Middle Eastern Respiratory Syndrome,,45
"Tuberculosis, HIV Negative",Untreated & Unvaccinated,45
Reye's Syndrome,,40
"Plague, septicemic",Untreated & Unvaccinated,40
Hantavirus pulmonary syndrome (HPS),,35
"Tularemia, typhoidal, untreated",Untreated,35
Yellow fever,Unvaccinated,7.5
Eastern equine encephalitis virus,,33
"Anthrax, gastrointestinal, oropharyngeal type",,30
"Ebola virus disease, Bundibugyo variant (BDBV)",,30
"Smallpox, Variola major — unvaccinated",Unvaccinated,30
"Varicella (chickenpox), newborns, untreated",Untreated,30
Dengue haemorrhagic fever (DHF),Untreated,25
Leptospirosis,,20
Legionellosis,,15
Meningococcal disease,Untreated & Unvaccinated,15
"Typhoid fever, untreated",Untreated & Unvaccinated,15
Severe acute respiratory syndrome (SARS),,11
"Intestinal capillariasis, untreated",Untreated,10
Visceral leishmaniasis,,10
Botulism,,10
"Diphtheria, respiratory",Untreated & Unvaccinated,7.5
Bubonic plague,Untreated & Unvaccinated,5
"Tularemia, typhoidal",,4
"Pertussis (whooping cough), infants, unvaccinated, in developing countries",Unvaccinated,4
"Smallpox, Variola major — vaccinated",Vaccinated,3
Spanish (1918) flu,,2.5
"Measles (rubeola), in developing countries",Unvaccinated,2
"Brucellosis, untreated",Untreated,2
"Hepatitis A, adults > 50 years old",Unvaccinated,2
Lassa Fever,,1
Mumps encephalitis,Unvaccinated,1
"Pertussis (whooping cough), children, unvaccinated, in developing countries",Unvaccinated,1
"Smallpox, Variola minor — unvaccinated",Unvaccinated,1
Venezuelan Equine Encephalitis(VEE),,1
"Anthrax, cutaneous",,1
Typhoid fever,Untreated & Unvaccinated,1
Malaria,,0.3
Hepatitis A,Unvaccinated,0.2
Asian (1956–58) flu,,0.1
Hong Kong (1968–69) flu,,0.1
"Influenza A, typical pandemics",,0.1
"Varicella (chickenpox), adults",Unvaccinated,0.02
"Hand, foot and mouth disease, children < 5 years old",,0.01
"Varicella (chickenpox), children",Unvaccinated,0.001
