2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude
1,New York,New York,"8,550,405",302.6,783.8,40.6643,73.9385
2,Los Angeles,California,"3,971,883",468.7,"1,213.90",34.0194,118.4108
3,Chicago,Illinois,"2,720,546",227.6,589.6,41.8376,87.6818
4,Houston,Texas,"2,296,224",599.6,"1,552.90",29.7805,95.3863
5,Philadelphia,Pennsylvania,"1,567,442",134.1,347.3,40.0094,75.1333
6,Phoenix,Arizona,"1,563,025",516.7,"1,338.30",33.5722,112.088
7,San Antonio,Texas,"1,469,845",460.9,"1,193.80",29.4724,98.5251
8,San Diego,California,"1,394,928",325.2,842.2,32.8153,117.135
9,Dallas,Texas,"1,300,092",340.5,881.9,32.7757,96.7967
10,San Jose,California,"1,026,908",176.6,457.3,37.2969,121.8193
11,Austin,Texas,"931,830",322.48,835.2,30.3072,97.756
12,Jacksonville,Florida,"868,031",747,"1,934.70",30.337,81.6613
13,San Francisco,California,"864,816",46.9,121.4,37.7751,122.4193
14,Indianapolis,Indiana,"853,173",361.4,936.1,39.7767,86.1459
15,Columbus,Ohio,"850,106",217.2,562.5,39.9848,82.985
16,Fort Worth,Texas,"833,319",339.8,880.1,32.7795,97.3463
17,Charlotte,North Carolina,"827,097",297.7,771,35.2087,80.8307
18,Seattle,Washington,"684,451",83.9,217.4,47.6205,122.3509
19,Denver,Colorado,"682,545",153,396.3,39.7618,104.8806
20,El Paso,Texas,"681,124",255.2,661.1,31.8484,106.427
21,Detroit,Michigan,"677,116",138.8,359.4,42.383,83.1022
22,Washington,District of Columbia,"672,228",61,158.1,38.9041,77.0171
23,Boston,Massachusetts,"667,137",48.3,125,42.332,71.0202
24,Memphis,Tennessee,"655,770",315.1,816,35.1035,89.9785
25,Nashville,Tennessee,"654,610",475.1,"1,230.80",36.1718,86.785
26,Portland,Oregon,"632,309",133.4,345.6,45.537,122.65
27,Oklahoma City,Oklahoma,"631,346",606.4,"1,570.60",35.4671,97.5137
28,Las Vegas,Nevada,"623,747",135.8,351.8,36.2277,115.264
29,Baltimore,Maryland,"621,849",80.9,209.6,39.3002,76.6105
30,Louisville,Kentucky,"615,366",325.2,842.4,38.1781,85.6667
